klub,dzielnica,source,kort,nawierzchnia,slot_date,day_of_week,typ_dnia,godzina,minuta,pora_dnia,wolny,booking_start,booking_end
Interpadel Warszawa,Mokotów,playtomic, kort 1,indoor,2026-06-05,Friday,tydzien,23,0,noc,0,,
Interpadel Warszawa,Mokotów,playtomic, kort 1,indoor,2026-06-05,Friday,tydzien,23,30,noc,0,,
Interpadel Warszawa,Mokotów,playtomic,AQUA Carpatica kort 3,indoor,2026-06-05,Friday,tydzien,23,0,noc,0,,
Interpadel Warszawa,Mokotów,playtomic,AQUA Carpatica kort 3,indoor,2026-06-05,Friday,tydzien,23,30,noc,0,,
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,2026-06-05,Friday,tydzien,23,0,noc,0,,
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,2026-06-05,Friday,tydzien,23,30,noc,0,,
Interpadel Warszawa,Mokotów,playtomic,PORTICO kort 2,indoor,2026-06-05,Friday,tydzien,23,0,noc,0,,
Interpadel Warszawa,Mokotów,playtomic,PORTICO kort 2,indoor,2026-06-05,Friday,tydzien,23,30,noc,0,,
Interpadel Warszawa,Mokotów,playtomic,RECMAN kort 8,indoor,2026-06-05,Friday,tydzien,23,0,noc,0,,
Interpadel Warszawa,Mokotów,playtomic,RECMAN kort 8,indoor,2026-06-05,Friday,tydzien,23,30,noc,0,,
Interpadel Warszawa,Mokotów,playtomic,TRUE kort 7,indoor,2026-06-05,Friday,tydzien,23,0,noc,0,,
Interpadel Warszawa,Mokotów,playtomic,TRUE kort 7,indoor,2026-06-05,Friday,tydzien,23,30,noc,0,,
Interpadel Warszawa,Mokotów,playtomic,kort 10 Singiel,indoor,2026-06-05,Friday,tydzien,23,0,noc,0,,
Interpadel Warszawa,Mokotów,playtomic,kort 10 Singiel,indoor,2026-06-05,Friday,tydzien,23,30,noc,0,,
Interpadel Warszawa,Mokotów,playtomic,kort 11 Singiel,indoor,2026-06-05,Friday,tydzien,23,0,noc,0,,
Interpadel Warszawa,Mokotów,playtomic,kort 11 Singiel,indoor,2026-06-05,Friday,tydzien,23,30,noc,0,,
Interpadel Warszawa,Mokotów,playtomic,kort 4,indoor,2026-06-05,Friday,tydzien,23,0,noc,0,,
Interpadel Warszawa,Mokotów,playtomic,kort 4,indoor,2026-06-05,Friday,tydzien,23,30,noc,0,,
Interpadel Warszawa,Mokotów,playtomic,kort 6,indoor,2026-06-05,Friday,tydzien,23,0,noc,0,,
Interpadel Warszawa,Mokotów,playtomic,kort 6,indoor,2026-06-05,Friday,tydzien,23,30,noc,0,,
Interpadel Warszawa,Mokotów,playtomic,kort 9,indoor,2026-06-05,Friday,tydzien,23,0,noc,0,,
Interpadel Warszawa,Mokotów,playtomic,kort 9,indoor,2026-06-05,Friday,tydzien,23,30,noc,0,,
Klub Miedzeszyn,Wawer,kluby_org,"Kort 2P
 PADEL HALA",indoor,2026-06-05,Friday,tydzien,8,0,rano (6-10),1,,
Klub Miedzeszyn,Wawer,kluby_org,"Kort 2P
 PADEL HALA",indoor,2026-06-05,Friday,tydzien,8,0,rano (6-10),1,,
Klub Miedzeszyn,Wawer,kluby_org,"Kort 2P
 PADEL HALA",indoor,2026-06-05,Friday,tydzien,8,30,rano (6-10),1,,
Klub Miedzeszyn,Wawer,kluby_org,"Kort 2P
 PADEL HALA",indoor,2026-06-05,Friday,tydzien,8,30,rano (6-10),1,,
Klub Miedzeszyn,Wawer,kluby_org,"Kort 2P
 PADEL HALA",indoor,2026-06-05,Friday,tydzien,9,0,rano (6-10),1,,
Klub Miedzeszyn,Wawer,kluby_org,"Kort 2P
 PADEL HALA",indoor,2026-06-05,Friday,tydzien,9,0,rano (6-10),1,,
Klub Miedzeszyn,Wawer,kluby_org,"Kort 2P
 PADEL HALA",indoor,2026-06-05,Friday,tydzien,9,30,rano (6-10),1,,
Klub Miedzeszyn,Wawer,kluby_org,"Kort 2P
 PADEL HALA",indoor,2026-06-05,Friday,tydzien,9,30,rano (6-10),1,,
