klub,dzielnica,source,price_type,day_type,time_slot,hour_from,hour_to,price_pln,duration_min,description
RQT Spot,Bielany,playtomic,court,all,all,,,168.75,120,cena z Playtomic API
Rakiety Aero - Padel Outdoor,Wawer,playtomic,court,all,all,,,120.0,60,cena z Playtomic API
Rakiety Aero - Padel Outdoor,Wawer,playtomic,court,all,all,,,180.0,90,cena z Playtomic API
Rakiety Aero - Padel Outdoor,Wawer,playtomic,court,all,all,,,240.0,120,cena z Playtomic API
Rakiety Aero - Padel Outdoor,Wawer,playtomic,court,all,all,,,260.0,120,cena z Playtomic API
Rakiety Aero - Padel Outdoor,Wawer,playtomic,court,all,all,,,200.0,90,cena z Playtomic API
Rakiety Aero - Padel Outdoor,Wawer,playtomic,court,all,all,,,280.0,120,cena z Playtomic API
Rakiety Aero - Padel Outdoor,Wawer,playtomic,court,all,all,,,140.0,60,cena z Playtomic API
Rakiety Aero - Padel Outdoor,Wawer,playtomic,court,all,all,,,220.0,90,cena z Playtomic API
Rakiety Aero - Padel Outdoor,Wawer,playtomic,court,all,all,,,300.0,120,cena z Playtomic API
Rakiety Aero - Padel Outdoor,Wawer,playtomic,court,all,all,,,160.0,60,cena z Playtomic API
Rakiety Aero - Padel Outdoor,Wawer,playtomic,court,all,all,,,240.0,90,cena z Playtomic API
Rakiety Aero - Padel Outdoor,Wawer,playtomic,court,all,all,,,320.0,120,cena z Playtomic API
Rakiety PGE Narodowy - Padel Outdoor,Praga Południe,playtomic,court,all,all,,,120.0,60,cena z Playtomic API
Rakiety PGE Narodowy - Padel Outdoor,Praga Południe,playtomic,court,all,all,,,180.0,90,cena z Playtomic API
Rakiety PGE Narodowy - Padel Outdoor,Praga Południe,playtomic,court,all,all,,,240.0,120,cena z Playtomic API
Rakiety PGE Narodowy - Padel Outdoor,Praga Południe,playtomic,court,all,all,,,260.0,120,cena z Playtomic API
Rakiety PGE Narodowy - Padel Outdoor,Praga Południe,playtomic,court,all,all,,,200.0,90,cena z Playtomic API
Rakiety PGE Narodowy - Padel Outdoor,Praga Południe,playtomic,court,all,all,,,140.0,60,cena z Playtomic API
Rakiety PGE Narodowy - Padel Outdoor,Praga Południe,playtomic,court,all,all,,,160.0,60,cena z Playtomic API
Rakiety PGE Narodowy - Padel Outdoor,Praga Południe,playtomic,court,all,all,,,280.0,120,cena z Playtomic API
Rakiety PGE Narodowy - Padel Outdoor,Praga Południe,playtomic,court,all,all,,,220.0,90,cena z Playtomic API
Rakiety PGE Narodowy - Padel Outdoor,Praga Południe,playtomic,court,all,all,,,320.0,120,cena z Playtomic API
Rakiety PGE Narodowy - Padel Outdoor,Praga Południe,playtomic,court,all,all,,,240.0,90,cena z Playtomic API
San Padel,Ursynów,playtomic,court,all,all,,,100.0,60,cena z Playtomic API
San Padel,Ursynów,playtomic,court,all,all,,,150.0,90,cena z Playtomic API
San Padel,Ursynów,playtomic,court,all,all,,,200.0,120,cena z Playtomic API
San Padel,Ursynów,playtomic,court,all,all,,,250.0,120,cena z Playtomic API
San Padel,Ursynów,playtomic,court,all,all,,,200.0,90,cena z Playtomic API
San Padel,Ursynów,playtomic,court,all,all,,,150.0,60,cena z Playtomic API
San Padel,Ursynów,playtomic,court,all,all,,,300.0,120,cena z Playtomic API
San Padel,Ursynów,playtomic,court,all,all,,,225.0,90,cena z Playtomic API
San Padel,Ursynów,playtomic,court,all,all,,,325.0,120,cena z Playtomic API
San Padel,Ursynów,playtomic,court,all,all,,,250.0,90,cena z Playtomic API
San Padel,Ursynów,playtomic,court,all,all,,,350.0,120,cena z Playtomic API
San Padel,Ursynów,playtomic,court,all,all,,,175.0,60,cena z Playtomic API
San Padel,Ursynów,playtomic,court,all,all,,,275.0,90,cena z Playtomic API
San Padel,Ursynów,playtomic,court,all,all,,,375.0,120,cena z Playtomic API
San Padel,Ursynów,playtomic,court,all,all,,,200.0,60,cena z Playtomic API
San Padel,Ursynów,playtomic,court,all,all,,,300.0,90,cena z Playtomic API
San Padel,Ursynów,playtomic,court,all,all,,,400.0,120,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,80.0,60,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,180.0,90,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,120.0,60,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,258.0,120,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,138.0,60,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,294.0,120,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,234.0,90,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,156.0,60,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,152.0,90,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,240.0,120,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,198.0,90,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,144.0,60,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,224.0,120,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,200.0,120,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,160.0,90,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,140.0,90,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,100.0,60,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,216.0,90,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,98.0,60,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,220.0,120,cena z Playtomic API
