klub,dzielnica,source,kort,nawierzchnia,slot_date,day_of_week,typ_dnia,godzina,minuta,pora_dnia,wolny,booking_start,booking_end
Interpadel Warszawa,Mokotów,playtomic,,,2026-05-24,Sunday,weekend,8,0,rano (6-10),0,,
Interpadel Warszawa,Mokotów,playtomic,,,2026-05-24,Sunday,weekend,8,0,rano (6-10),1,,
Interpadel Warszawa,Mokotów,playtomic,,,2026-05-24,Sunday,weekend,8,0,rano (6-10),0,,
Interpadel Warszawa,Mokotów,playtomic,,,2026-05-24,Sunday,weekend,8,0,rano (6-10),1,,
Interpadel Warszawa,Mokotów,playtomic,,,2026-05-24,Sunday,weekend,8,0,rano (6-10),0,,
Interpadel Warszawa,Mokotów,playtomic,,,2026-05-24,Sunday,weekend,8,0,rano (6-10),1,,
Interpadel Warszawa,Mokotów,playtomic,,,2026-05-24,Sunday,weekend,10,0,poludnie (10-14),0,,
Interpadel Warszawa,Mokotów,playtomic,,,2026-05-24,Sunday,weekend,10,0,poludnie (10-14),1,,
Interpadel Warszawa,Mokotów,playtomic,,,2026-05-24,Sunday,weekend,12,0,poludnie (10-14),0,,
Interpadel Warszawa,Mokotów,playtomic,,,2026-05-24,Sunday,weekend,12,0,poludnie (10-14),1,,
Interpadel Warszawa,Mokotów,playtomic,,,2026-05-24,Sunday,weekend,17,0,popoludnie (14-18),0,,
Interpadel Warszawa,Mokotów,playtomic,,,2026-05-24,Sunday,weekend,17,0,popoludnie (14-18),1,,
Interpadel Warszawa,Mokotów,playtomic,,,2026-05-24,Sunday,weekend,18,0,wieczor (18-22),0,,
Interpadel Warszawa,Mokotów,playtomic,,,2026-05-24,Sunday,weekend,18,0,wieczor (18-22),1,,
Loba Padel,Białołęka,playtomic,,,2026-05-24,Sunday,weekend,7,0,rano (6-10),0,,
Loba Padel,Białołęka,playtomic,,,2026-05-24,Sunday,weekend,7,0,rano (6-10),1,,
Loba Padel,Białołęka,playtomic,,,2026-05-24,Sunday,weekend,10,0,poludnie (10-14),0,,
Loba Padel,Białołęka,playtomic,,,2026-05-24,Sunday,weekend,10,0,poludnie (10-14),1,,
Loba Padel,Białołęka,playtomic,,,2026-05-24,Sunday,weekend,10,0,poludnie (10-14),0,,
Loba Padel,Białołęka,playtomic,,,2026-05-24,Sunday,weekend,10,0,poludnie (10-14),1,,
Loba Padel,Białołęka,playtomic,,,2026-05-24,Sunday,weekend,10,0,poludnie (10-14),0,,
Loba Padel,Białołęka,playtomic,,,2026-05-24,Sunday,weekend,10,0,poludnie (10-14),1,,
Loba Padel,Białołęka,playtomic,,,2026-05-24,Sunday,weekend,12,0,poludnie (10-14),0,,
Loba Padel,Białołęka,playtomic,,,2026-05-24,Sunday,weekend,12,0,poludnie (10-14),1,,
Loba Padel,Białołęka,playtomic,,,2026-05-24,Sunday,weekend,12,0,poludnie (10-14),0,,
Loba Padel,Białołęka,playtomic,,,2026-05-24,Sunday,weekend,12,0,poludnie (10-14),1,,
Loba Padel,Białołęka,playtomic,,,2026-05-24,Sunday,weekend,17,0,popoludnie (14-18),0,,
Loba Padel,Białołęka,playtomic,,,2026-05-24,Sunday,weekend,17,0,popoludnie (14-18),1,,
Loba Padel,Białołęka,playtomic,,,2026-05-24,Sunday,weekend,17,0,popoludnie (14-18),0,,
Loba Padel,Białołęka,playtomic,,,2026-05-24,Sunday,weekend,17,0,popoludnie (14-18),1,,
RQT Spot,Bielany,playtomic,,,2026-05-24,Sunday,weekend,9,0,rano (6-10),0,,
RQT Spot,Bielany,playtomic,,,2026-05-24,Sunday,weekend,9,0,rano (6-10),1,,
RQT Spot,Bielany,playtomic,,,2026-05-24,Sunday,weekend,11,0,poludnie (10-14),0,,
RQT Spot,Bielany,playtomic,,,2026-05-24,Sunday,weekend,11,0,poludnie (10-14),1,,
RQT Spot,Bielany,playtomic,,,2026-05-24,Sunday,weekend,11,0,poludnie (10-14),0,,
RQT Spot,Bielany,playtomic,,,2026-05-24,Sunday,weekend,11,0,poludnie (10-14),1,,
RQT Spot,Bielany,playtomic,,,2026-05-24,Sunday,weekend,12,0,poludnie (10-14),0,,
RQT Spot,Bielany,playtomic,,,2026-05-24,Sunday,weekend,12,0,poludnie (10-14),1,,
RQT Spot,Bielany,playtomic,,,2026-05-24,Sunday,weekend,15,0,popoludnie (14-18),0,,
RQT Spot,Bielany,playtomic,,,2026-05-24,Sunday,weekend,15,0,popoludnie (14-18),1,,
RQT Spot,Bielany,playtomic,,,2026-05-24,Sunday,weekend,17,0,popoludnie (14-18),0,,
RQT Spot,Bielany,playtomic,,,2026-05-24,Sunday,weekend,17,0,popoludnie (14-18),1,,
RQT Spot,Bielany,playtomic,,,2026-05-24,Sunday,weekend,19,0,wieczor (18-22),0,,
RQT Spot,Bielany,playtomic,,,2026-05-24,Sunday,weekend,19,0,wieczor (18-22),1,,
RQT Spot,Bielany,playtomic,,,2026-05-24,Sunday,weekend,21,0,wieczor (18-22),0,,
RQT Spot,Bielany,playtomic,,,2026-05-24,Sunday,weekend,21,0,wieczor (18-22),1,,
Rakiety PGE Narodowy,Praga Południe,playtomic,,,2026-05-24,Sunday,weekend,8,0,rano (6-10),0,,
Rakiety PGE Narodowy,Praga Południe,playtomic,,,2026-05-24,Sunday,weekend,8,0,rano (6-10),1,,
Rakiety PGE Narodowy,Praga Południe,playtomic,,,2026-05-24,Sunday,weekend,8,0,rano (6-10),0,,
Rakiety PGE Narodowy,Praga Południe,playtomic,,,2026-05-24,Sunday,weekend,8,0,rano (6-10),1,,
Rakiety PGE Narodowy,Praga Południe,playtomic,,,2026-05-24,Sunday,weekend,9,0,rano (6-10),0,,
Rakiety PGE Narodowy,Praga Południe,playtomic,,,2026-05-24,Sunday,weekend,9,0,rano (6-10),1,,
