id,name,address,lat,lng,hours_weekday,hours_weekend,amenities,website,scraped_at
interpadel-warszawa,Interpadel Warszawa,02-690,,,06:00 - 02:00,06:00 - 02:00,"[""Disabled Access"", ""Equipment Rental"", ""Free Parking"", ""Private Parking"", ""Store"", ""Cafeteria"", ""Snack Bar"", ""Vending Machine"", ""Changing Room"", ""Lockers""]",https://playtomic.com/clubs/interpadel-warszawa,2026-05-24T10:10:42.746100
loba-padel,Loba Padel,03-032,,,06:00 - 23:00,06:00 - 23:00,"[""Disabled Access"", ""Equipment Rental"", ""Free Parking"", ""Private Parking"", ""Store"", ""Cafeteria"", ""Snack Bar"", ""Changing Room"", ""Lockers"", ""WiFi""]",https://playtomic.com/clubs/loba-padel,2026-05-24T10:11:01.484525
rqt-spot,RQT Spot,05-080,,,07:00 - 00:00,07:00 - 00:00,"[""Equipment Rental"", ""Free Parking"", ""Private Parking"", ""Vending Machine"", ""Changing Room"", ""Lockers"", ""WiFi""]",https://playtomic.com/clubs/rqt-spot,2026-05-24T10:11:13.702873
rakiety-squash-padel-outdoor,Rakiety Aero – Padel Outdoor,03-994,,,08:00 - 21:30,08:00 - 21:30,"[""Equipment Rental"", ""Free Parking"", ""Private Parking"", ""Cafeteria"", ""Changing Room"", ""Lockers"", ""WiFi""]",https://playtomic.com/clubs/rakiety-squash-padel-outdoor,2026-05-24T10:10:54.741762
rakiety-pge-narodowy,Rakiety PGE Narodowy,03-901,,,07:00 - 23:00,07:00 - 23:00,"[""Disabled Access"", ""Equipment Rental"", ""Free Parking"", ""Private Parking"", ""Store"", ""Cafeteria"", ""Changing Room"", ""Lockers"", ""WiFi""]",https://playtomic.com/clubs/rakiety-pge-narodowy,2026-05-24T10:10:48.933867
san-padel,San Padel,05-500,,,00:00 - 00:00,00:00 - 00:00,"[""Disabled Access"", ""Free Parking"", ""Private Parking"", ""Store"", ""Restaurant"", ""Cafeteria"", ""Snack Bar"", ""Vending Machine"", ""Changing Room"", ""Lockers"", ""WiFi""]",https://playtomic.com/clubs/san-padel,2026-05-24T10:11:07.357759
warsaw-padel-club,Warsaw Padel Club,03-236,,,06:00 - 01:00,06:00 - 01:00,"[""Disabled Access"", ""Equipment Rental"", ""Free Parking"", ""Private Parking"", ""Store"", ""Restaurant"", ""Cafeteria"", ""Snack Bar"", ""Vending Machine"", ""Changing Room"", ""Lockers"", ""WiFi""]",https://playtomic.com/clubs/warsaw-padel-club,2026-05-24T10:10:30.462707
warsaw-padel-club-squash,Warsaw Padel Club – Squash,03-236,,,07:00 - 01:00,07:00 - 01:00,"[""Disabled Access"", ""Equipment Rental"", ""Free Parking"", ""Private Parking"", ""Store"", ""Restaurant"", ""Cafeteria"", ""Snack Bar"", ""Changing Room"", ""Lockers"", ""WiFi""]",https://playtomic.com/clubs/warsaw-padel-club-squash,2026-05-24T10:10:36.403857
