klub,dzielnica,source,kort,nawierzchnia,pora_dnia,typ_dnia,slotow,zajete,wolne,oblozenie_pct
Interpadel Warszawa,Mokotów,playtomic,,,rano (6-10),weekend,10,5,5,50.0
Interpadel Warszawa,Mokotów,playtomic,,,popoludnie (14-18),weekend,6,3,3,50.0
Klub Miedzeszyn,Wawer,kluby_org,"Kort 2P
 PADEL HALA",indoor,rano (6-10),weekend,8,0,8,0.0
Klub Miedzeszyn,Wawer,kluby_org,"Kort 2P
 PADEL HALA",indoor,poludnie (10-14),weekend,16,0,16,0.0
Klub Miedzeszyn,Wawer,kluby_org,"Kort 2P
 PADEL HALA",indoor,popoludnie (14-18),weekend,12,2,10,16.7
Klub Miedzeszyn,Wawer,kluby_org,"Kort 2P
 PADEL HALA",indoor,wieczor (18-22),weekend,4,2,2,50.0
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,rano (6-10),weekend,8,0,8,0.0
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,poludnie (10-14),weekend,16,0,16,0.0
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,popoludnie (14-18),weekend,16,0,16,0.0
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,wieczor (18-22),weekend,12,4,8,33.3
Loba Padel,Białołęka,playtomic,,,rano (6-10),weekend,2,1,1,50.0
Loba Padel,Białołęka,playtomic,,,poludnie (10-14),weekend,6,3,3,50.0
Loba Padel,Białołęka,playtomic,,,popoludnie (14-18),weekend,4,2,2,50.0
Loba Padel,Białołęka,playtomic,,,noc,weekend,4,2,2,50.0
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,rano (6-10),weekend,12,2,10,16.7
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,poludnie (10-14),weekend,16,8,8,50.0
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,popoludnie (14-18),weekend,16,8,8,50.0
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,wieczor (18-22),weekend,8,8,0,100.0
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,noc,weekend,8,4,4,50.0
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,rano (6-10),weekend,12,2,10,16.7
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,poludnie (10-14),weekend,14,4,10,28.6
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,popoludnie (14-18),weekend,16,4,12,25.0
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,wieczor (18-22),weekend,6,6,0,100.0
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,noc,weekend,8,2,6,25.0
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,rano (6-10),weekend,10,6,4,60.0
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,poludnie (10-14),weekend,12,4,8,33.3
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,popoludnie (14-18),weekend,14,2,12,14.3
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,wieczor (18-22),weekend,6,6,0,100.0
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,noc,weekend,8,0,8,0.0
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,rano (6-10),weekend,10,0,10,0.0
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,poludnie (10-14),weekend,10,4,6,40.0
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,popoludnie (14-18),weekend,12,4,8,33.3
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,wieczor (18-22),weekend,6,6,0,100.0
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,noc,weekend,4,2,2,50.0
Mana Padel,Wilanów,kluby_org,"(6) nikalab.
Padel",indoor,rano (6-10),weekend,8,2,6,25.0
Mana Padel,Wilanów,kluby_org,"(6) nikalab.
Padel",indoor,poludnie (10-14),weekend,4,0,4,0.0
Mana Padel,Wilanów,kluby_org,"(6) nikalab.
Padel",indoor,popoludnie (14-18),weekend,10,0,10,0.0
Mana Padel,Wilanów,kluby_org,"(6) nikalab.
Padel",indoor,wieczor (18-22),weekend,4,4,0,100.0
Mana Padel,Wilanów,kluby_org,"(6) nikalab.
Padel",indoor,noc,weekend,2,0,2,0.0
Mana Padel,Wilanów,kluby_org,"(7) BOMBILLA
Padel",indoor,rano (6-10),weekend,8,2,6,25.0
Mana Padel,Wilanów,kluby_org,"(7) BOMBILLA
Padel",indoor,poludnie (10-14),weekend,2,0,2,0.0
Mana Padel,Wilanów,kluby_org,"(7) BOMBILLA
Padel",indoor,popoludnie (14-18),weekend,4,2,2,50.0
Mana Padel,Wilanów,kluby_org,"(8) 4FLEX
Padel",indoor,rano (6-10),weekend,2,2,0,100.0
Mana Padel,Wilanów,kluby_org,"(8) 4FLEX
Padel",indoor,popoludnie (14-18),weekend,2,0,2,0.0
Mana Padel,Wilanów,kluby_org,"Premier Padel Court
Padel",indoor,rano (6-10),weekend,12,2,10,16.7
Mana Padel,Wilanów,kluby_org,"Premier Padel Court
Padel",indoor,poludnie (10-14),weekend,16,8,8,50.0
Mana Padel,Wilanów,kluby_org,"Premier Padel Court
Padel",indoor,popoludnie (14-18),weekend,16,8,8,50.0
Mana Padel,Wilanów,kluby_org,"Premier Padel Court
Padel",indoor,wieczor (18-22),weekend,12,12,0,100.0
Mana Padel,Wilanów,kluby_org,"Premier Padel Court
Padel",indoor,noc,weekend,8,2,6,25.0
Padel4All Bulwary,Śródmieście,kluby_org,"Kort
Kort odkryty",indoor,rano (6-10),weekend,16,0,16,0.0
Padel4All Bulwary,Śródmieście,kluby_org,"Kort
Kort odkryty",indoor,poludnie (10-14),weekend,16,0,16,0.0
Padel4All Bulwary,Śródmieście,kluby_org,"Kort
Kort odkryty",indoor,popoludnie (14-18),weekend,16,0,16,0.0
Padel4All Bulwary,Śródmieście,kluby_org,"Kort
Kort odkryty",indoor,wieczor (18-22),weekend,16,0,16,0.0
Padlovnia,Ursynów,kluby_org,"Hala 1
 Hala",indoor,rano (6-10),weekend,12,2,10,16.7
Padlovnia,Ursynów,kluby_org,"Hala 1
 Hala",indoor,poludnie (10-14),weekend,16,4,12,25.0
Padlovnia,Ursynów,kluby_org,"Hala 1
 Hala",indoor,popoludnie (14-18),weekend,16,4,12,25.0
Padlovnia,Ursynów,kluby_org,"Hala 1
 Hala",indoor,wieczor (18-22),weekend,14,14,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 1
 Hala",indoor,noc,weekend,8,0,8,0.0
Padlovnia,Ursynów,kluby_org,"Hala 2
 Hala",indoor,rano (6-10),weekend,12,2,10,16.7
Padlovnia,Ursynów,kluby_org,"Hala 2
 Hala",indoor,poludnie (10-14),weekend,16,4,12,25.0
Padlovnia,Ursynów,kluby_org,"Hala 2
 Hala",indoor,popoludnie (14-18),weekend,16,4,12,25.0
Padlovnia,Ursynów,kluby_org,"Hala 2
 Hala",indoor,wieczor (18-22),weekend,12,10,2,83.3
Padlovnia,Ursynów,kluby_org,"Hala 2
 Hala",indoor,noc,weekend,8,0,8,0.0
Padlovnia,Ursynów,kluby_org,"Hala 3
 Hala",indoor,rano (6-10),weekend,12,6,6,50.0
Padlovnia,Ursynów,kluby_org,"Hala 3
 Hala",indoor,poludnie (10-14),weekend,16,4,12,25.0
