klub,dzielnica,source,kort,nawierzchnia,pora_dnia,typ_dnia,slotow,zajete,wolne,oblozenie_pct
Interpadel Warszawa,Mokotów,playtomic,kort 4,indoor,poludnie (10-14),weekend,9,8,1,88.9
Interpadel Warszawa,Mokotów,playtomic,kort 4,indoor,popoludnie (14-18),weekend,10,9,1,90.0
Interpadel Warszawa,Mokotów,playtomic,kort 4,indoor,wieczor (18-22),weekend,10,6,4,60.0
Interpadel Warszawa,Mokotów,playtomic,kort 4,indoor,noc,weekend,5,5,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 6,indoor,rano (6-10),weekend,1,1,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 6,indoor,poludnie (10-14),weekend,9,7,2,77.8
Interpadel Warszawa,Mokotów,playtomic,kort 6,indoor,popoludnie (14-18),weekend,10,10,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 6,indoor,wieczor (18-22),weekend,10,6,4,60.0
Interpadel Warszawa,Mokotów,playtomic,kort 6,indoor,noc,weekend,5,5,0,100.0
Klub Miedzeszyn,Wawer,kluby_org,"Kort 2P
 PADEL HALA",indoor,wieczor (18-22),weekend,1,1,0,100.0
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,poludnie (10-14),weekend,2,2,0,100.0
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,popoludnie (14-18),weekend,1,1,0,100.0
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,wieczor (18-22),weekend,2,2,0,100.0
Loba Padel,Białołęka,playtomic,Padel 1,indoor,rano (6-10),weekend,1,0,1,0.0
Loba Padel,Białołęka,playtomic,Padel 1,indoor,poludnie (10-14),weekend,9,8,1,88.9
Loba Padel,Białołęka,playtomic,Padel 1,indoor,popoludnie (14-18),weekend,10,4,6,40.0
Loba Padel,Białołęka,playtomic,Padel 1,indoor,wieczor (18-22),weekend,10,8,2,80.0
Loba Padel,Białołęka,playtomic,Padel 1,indoor,noc,weekend,1,1,0,100.0
Loba Padel,Białołęka,playtomic,Padel 2,indoor,rano (6-10),weekend,1,0,1,0.0
Loba Padel,Białołęka,playtomic,Padel 2,indoor,poludnie (10-14),weekend,9,3,6,33.3
Loba Padel,Białołęka,playtomic,Padel 2,indoor,popoludnie (14-18),weekend,10,4,6,40.0
Loba Padel,Białołęka,playtomic,Padel 2,indoor,wieczor (18-22),weekend,10,6,4,60.0
Loba Padel,Białołęka,playtomic,Padel 2,indoor,noc,weekend,1,1,0,100.0
Loba Padel,Białołęka,playtomic,Padel 3,indoor,rano (6-10),weekend,1,0,1,0.0
Loba Padel,Białołęka,playtomic,Padel 3,indoor,poludnie (10-14),weekend,9,5,4,55.6
Loba Padel,Białołęka,playtomic,Padel 3,indoor,popoludnie (14-18),weekend,10,9,1,90.0
Loba Padel,Białołęka,playtomic,Padel 3,indoor,wieczor (18-22),weekend,10,8,2,80.0
Loba Padel,Białołęka,playtomic,Padel 3,indoor,noc,weekend,1,1,0,100.0
Loba Padel,Białołęka,playtomic,Padel 4,indoor,rano (6-10),weekend,1,0,1,0.0
Loba Padel,Białołęka,playtomic,Padel 4,indoor,poludnie (10-14),weekend,9,9,0,100.0
Loba Padel,Białołęka,playtomic,Padel 4,indoor,popoludnie (14-18),weekend,10,6,4,60.0
Loba Padel,Białołęka,playtomic,Padel 4,indoor,wieczor (18-22),weekend,10,8,2,80.0
Loba Padel,Białołęka,playtomic,Padel 4,indoor,noc,weekend,1,1,0,100.0
Loba Padel,Białołęka,playtomic,Padel 5,indoor,rano (6-10),weekend,1,1,0,100.0
Loba Padel,Białołęka,playtomic,Padel 5,indoor,poludnie (10-14),weekend,9,4,5,44.4
Loba Padel,Białołęka,playtomic,Padel 5,indoor,popoludnie (14-18),weekend,10,7,3,70.0
Loba Padel,Białołęka,playtomic,Padel 5,indoor,wieczor (18-22),weekend,10,9,1,90.0
Loba Padel,Białołęka,playtomic,Padel 5,indoor,noc,weekend,1,1,0,100.0
Loba Padel,Białołęka,playtomic,Padel 6,indoor,rano (6-10),weekend,1,0,1,0.0
Loba Padel,Białołęka,playtomic,Padel 6,indoor,poludnie (10-14),weekend,9,7,2,77.8
Loba Padel,Białołęka,playtomic,Padel 6,indoor,popoludnie (14-18),weekend,10,5,5,50.0
Loba Padel,Białołęka,playtomic,Padel 6,indoor,wieczor (18-22),weekend,10,6,4,60.0
Loba Padel,Białołęka,playtomic,Padel 6,indoor,noc,weekend,1,1,0,100.0
Loba Padel,Białołęka,playtomic,Padel 7,indoor,rano (6-10),weekend,1,1,0,100.0
Loba Padel,Białołęka,playtomic,Padel 7,indoor,poludnie (10-14),weekend,9,4,5,44.4
