klub,dzielnica,source,nawierzchnia,korty_padlowe,cena_min,cena_max,cena_srednia,godz_tydzien,godz_weekend,slotow_dzisiaj,oblozenie_pct,address
Toro Padel,Bemowo,kluby_org,indoor,6,80.0,160.0,115.0,,,147,13.6,ul. Kazubów 14 (Bemowo)
Loba Padel,Białołęka,playtomic,indoor,8,140.0,200.0,168.0,06:00-23:00,06:00-23:00,40,100.0,"Smugowa 44, 03-032"
Sporteum,Białołęka,kluby_org,indoor,2,65.0,130.0,98.0,,,58,3.4,ul. Zawiślańska 27 (Białołęka)
Warsaw Padel Club,Białołęka,playtomic,indoor,11,101.0,144.0,129.0,06:00-01:00,06:00-01:00,77,80.5,"Annopol 3, 03-236"
RQT Spot,Bielany,playtomic,indoor,6,79.0,120.0,102.0,07:00-00:00,07:00-00:00,42,85.7,"Estrady 13K, 05-080"
RQT Spot,Bielany,playtomic,outdoor,2,79.0,120.0,102.0,07:00-00:00,07:00-00:00,14,78.6,"Estrady 13K, 05-080"
Interpadel Warszawa,Mokotów,playtomic,indoor,11,86.0,140.0,113.0,06:00-02:00,06:00-02:00,77,89.6,"Bokserska 66A, 02-690"
WKT Mera,Ochota,kluby_org,indoor,2,80.0,120.0,100.0,,,51,23.5,al. Bohaterów Września 12 (Ochota)
Rakiety PGE Narodowy - Padel Outdoor,Praga Południe,playtomic,outdoor,5,160.0,160.0,160.0,07:00-23:00,07:00-23:00,25,100.0,"al. Księcia Józefa Poniatowskiego 1, 03-901"
DECATHLON Targówek,Targówek,kluby_org,indoor,1,,,,,,0,,ul. Geodezyjna 76 (Targówek)
TENES Klub Sportowy,Ursus,kluby_org,indoor,3,65.0,120.0,91.0,,,91,9.9,ul. Piwna 13 (Ursus)
Padlovnia,Ursynów,kluby_org,indoor,7,100.0,160.0,130.0,,,166,25.9,ul. Karnawał 8 (Ursynów)
Padlovnia,Ursynów,kluby_org,outdoor,4,100.0,160.0,130.0,,,0,,ul. Karnawał 8 (Ursynów)
San Padel,Ursynów,playtomic,indoor,12,150.0,200.0,180.0,00:00-00:00,00:00-00:00,84,81.0,"Przedsiębiorców 1, 05-500"
Klub Miedzeszyn,Wawer,kluby_org,indoor,2,80.0,180.0,130.0,,,50,8.0,ul. Bielika 17 (Wawer)
Rakiety Aero,Wawer,kluby_org,outdoor,1,,,,,,0,,
Rakiety Aero - Padel Outdoor,Wawer,playtomic,outdoor,1,,,,08:00-21:30,08:00-21:30,0,,"Wał Miedzeszyński 646, 03-994"
Happy Padel,Wesoła,kluby_org,indoor,1,,,,,,0,,
Mana Padel,Wilanów,kluby_org,indoor,8,107.0,300.0,177.0,,,126,54.0,ul. Zawodzie 24 (Wilanów)
Sinus Sport Club,Wilanów,kluby_org,indoor,1,80.0,80.0,80.0,,,0,,ul. Wał Zawadowski 99 (Wilanów)
TenisWil,Wilanów,kluby_org,outdoor,3,80.0,100.0,90.0,,,73,12.3,ul. Przyczółkowa 210C (Wilanów)
ProPadel Jutrzenki,Włochy,kluby_org,indoor,5,80.0,80.0,80.0,,,180,0.0,ul. Jutrzenki 12 (Włochy)
Padel4All Bulwary,Śródmieście,kluby_org,indoor,1,80.0,80.0,80.0,,,32,0.0,
