klub,dzielnica,source,korty_padlowe,nawierzchnie,cena_min,cena_max,cena_srednia,godz_tydzien,godz_weekend,slotow_dzisiaj,oblozenie_pct,address
Loba Padel,Białołęka,playtomic,,,95.0,280.0,188.0,06:00 - 23:00,06:00 - 23:00,16,150.0,03-032
Warsaw Padel Club,Białołęka,playtomic,,,50.0,150.0,100.0,06:00 - 01:00,06:00 - 01:00,16,250.0,03-236
Warsaw Padel Club – Squash,Białołęka,playtomic,,,,,,07:00 - 01:00,07:00 - 01:00,0,,03-236
RQT Spot,Bielany,playtomic,,,50.0,100.0,73.0,07:00 - 00:00,07:00 - 00:00,16,200.0,05-080
Interpadel Warszawa,Mokotów,playtomic,,,50.0,65.0,58.0,06:00 - 02:00,06:00 - 02:00,14,100.0,02-690
Rakiety PGE Narodowy,Praga Południe,playtomic,,,60.0,260.0,145.0,07:00 - 23:00,07:00 - 23:00,16,250.0,03-901
San Padel,Ursynów,playtomic,,,,,,00:00 - 00:00,00:00 - 00:00,0,,05-500
Rakiety Aero Padel Outdoor,Wawer,playtomic,,,,,,08:00 - 21:30,08:00 - 21:30,0,,03-994
