klub,dzielnica,source,kort,nawierzchnia,slot_date,day_of_week,typ_dnia,godzina,minuta,pora_dnia,wolny,booking_start,booking_end
Loba Padel,Białołęka,playtomic,,,2026-05-31,Sunday,weekend,15,0,popoludnie (14-18),1,,
Loba Padel,Białołęka,playtomic,,,2026-05-31,Sunday,weekend,15,0,popoludnie (14-18),0,,
Loba Padel,Białołęka,playtomic,,,2026-05-31,Sunday,weekend,15,0,popoludnie (14-18),1,,
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-05-31,Sunday,weekend,7,0,rano (6-10),1,,
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-05-31,Sunday,weekend,7,30,rano (6-10),1,,
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-05-31,Sunday,weekend,8,0,rano (6-10),1,,
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-05-31,Sunday,weekend,8,30,rano (6-10),1,,
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-05-31,Sunday,weekend,9,0,rano (6-10),0,09:00,10:00
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-05-31,Sunday,weekend,9,30,rano (6-10),1,,
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-05-31,Sunday,weekend,10,0,poludnie (10-14),0,10:00,11:00
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-05-31,Sunday,weekend,10,30,poludnie (10-14),0,10:30,12:00
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-05-31,Sunday,weekend,11,0,poludnie (10-14),1,,
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-05-31,Sunday,weekend,11,30,poludnie (10-14),1,,
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-05-31,Sunday,weekend,12,0,poludnie (10-14),0,12:00,14:00
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-05-31,Sunday,weekend,12,30,poludnie (10-14),0,12:30,13:30
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-05-31,Sunday,weekend,13,0,poludnie (10-14),1,,
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-05-31,Sunday,weekend,13,30,poludnie (10-14),1,,
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-05-31,Sunday,weekend,14,0,popoludnie (14-18),1,,
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-05-31,Sunday,weekend,14,30,popoludnie (14-18),1,,
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-05-31,Sunday,weekend,15,0,popoludnie (14-18),1,,
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-05-31,Sunday,weekend,15,30,popoludnie (14-18),1,,
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-05-31,Sunday,weekend,16,0,popoludnie (14-18),0,16:00,18:00
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-05-31,Sunday,weekend,16,30,popoludnie (14-18),0,16:30,18:00
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-05-31,Sunday,weekend,17,0,popoludnie (14-18),0,17:00,18:00
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-05-31,Sunday,weekend,17,30,popoludnie (14-18),0,17:30,18:30
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-05-31,Sunday,weekend,18,0,wieczor (18-22),0,18:00,21:00
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-05-31,Sunday,weekend,19,0,wieczor (18-22),0,19:00,20:00
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-05-31,Sunday,weekend,20,30,wieczor (18-22),0,20:30,22:30
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-05-31,Sunday,weekend,21,0,wieczor (18-22),0,21:00,22:00
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-05-31,Sunday,weekend,22,0,noc,0,22:00,23:30
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-05-31,Sunday,weekend,22,30,noc,0,22:30,00:00
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-05-31,Sunday,weekend,23,0,noc,1,,
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-05-31,Sunday,weekend,23,30,noc,1,,
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-05-31,Sunday,weekend,7,0,rano (6-10),1,,
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-05-31,Sunday,weekend,7,30,rano (6-10),1,,
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-05-31,Sunday,weekend,8,0,rano (6-10),1,,
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-05-31,Sunday,weekend,8,30,rano (6-10),1,,
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-05-31,Sunday,weekend,9,0,rano (6-10),0,09:00,10:30
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-05-31,Sunday,weekend,9,30,rano (6-10),1,,
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-05-31,Sunday,weekend,10,0,poludnie (10-14),0,10:00,11:00
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-05-31,Sunday,weekend,10,30,poludnie (10-14),1,,
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-05-31,Sunday,weekend,11,0,poludnie (10-14),1,,
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-05-31,Sunday,weekend,11,30,poludnie (10-14),1,,
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-05-31,Sunday,weekend,12,0,poludnie (10-14),0,12:00,13:00
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-05-31,Sunday,weekend,13,0,poludnie (10-14),1,,
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-05-31,Sunday,weekend,13,30,poludnie (10-14),1,,
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-05-31,Sunday,weekend,14,0,popoludnie (14-18),0,14:00,15:00
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-05-31,Sunday,weekend,14,30,popoludnie (14-18),1,,
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-05-31,Sunday,weekend,15,0,popoludnie (14-18),1,,
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-05-31,Sunday,weekend,15,30,popoludnie (14-18),1,,
