klub,dzielnica,source,kort,nawierzchnia,pora_dnia,typ_dnia,slotow,zajete,wolne,oblozenie_pct
Interpadel Warszawa,Mokotów,playtomic, kort 1,indoor,popoludnie (14-18),tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic, kort 1,indoor,wieczor (18-22),tydzien,8,6,2,75.0
Interpadel Warszawa,Mokotów,playtomic, kort 1,indoor,noc,tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,AQUA Carpatica kort 3,indoor,popoludnie (14-18),tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,AQUA Carpatica kort 3,indoor,wieczor (18-22),tydzien,8,6,2,75.0
Interpadel Warszawa,Mokotów,playtomic,AQUA Carpatica kort 3,indoor,noc,tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,popoludnie (14-18),tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,wieczor (18-22),tydzien,8,5,3,62.5
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,noc,tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,PORTICO kort 2,indoor,popoludnie (14-18),tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,PORTICO kort 2,indoor,wieczor (18-22),tydzien,8,7,1,87.5
Interpadel Warszawa,Mokotów,playtomic,PORTICO kort 2,indoor,noc,tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,RECMAN kort 8,indoor,popoludnie (14-18),tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,RECMAN kort 8,indoor,wieczor (18-22),tydzien,8,8,0,100.0
Interpadel Warszawa,Mokotów,playtomic,RECMAN kort 8,indoor,noc,tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,TRUE kort 7,indoor,popoludnie (14-18),tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,TRUE kort 7,indoor,wieczor (18-22),tydzien,8,8,0,100.0
Interpadel Warszawa,Mokotów,playtomic,TRUE kort 7,indoor,noc,tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 10 Singiel,indoor,popoludnie (14-18),tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 10 Singiel,indoor,wieczor (18-22),tydzien,8,6,2,75.0
Interpadel Warszawa,Mokotów,playtomic,kort 10 Singiel,indoor,noc,tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 11 Singiel,indoor,popoludnie (14-18),tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 11 Singiel,indoor,wieczor (18-22),tydzien,8,7,1,87.5
Interpadel Warszawa,Mokotów,playtomic,kort 11 Singiel,indoor,noc,tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 4,indoor,popoludnie (14-18),tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 4,indoor,wieczor (18-22),tydzien,8,5,3,62.5
Interpadel Warszawa,Mokotów,playtomic,kort 4,indoor,noc,tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 6,indoor,popoludnie (14-18),tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 6,indoor,wieczor (18-22),tydzien,8,8,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 6,indoor,noc,tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 9,indoor,popoludnie (14-18),tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 9,indoor,wieczor (18-22),tydzien,8,8,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 9,indoor,noc,tydzien,4,4,0,100.0
Klub Miedzeszyn,Wawer,kluby_org,"Kort 2P
 PADEL HALA",indoor,rano (6-10),tydzien,4,0,4,0.0
Klub Miedzeszyn,Wawer,kluby_org,"Kort 2P
 PADEL HALA",indoor,poludnie (10-14),tydzien,6,2,4,33.3
Klub Miedzeszyn,Wawer,kluby_org,"Kort 2P
 PADEL HALA",indoor,popoludnie (14-18),tydzien,6,2,4,33.3
Klub Miedzeszyn,Wawer,kluby_org,"Kort 2P
 PADEL HALA",indoor,wieczor (18-22),tydzien,16,0,16,0.0
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,rano (6-10),tydzien,6,4,2,66.7
