klub,nawierzchnia,liczba_kortow,cena_min,cena_max,cena_srednia,godziny_tydzien,godziny_weekend
Interpadel Warszawa,unknown,11,50.0,90.0,68.0,06:00 - 02:00,06:00 - 02:00
Loba Padel,unknown,8,95.0,280.0,188.0,06:00 - 23:00,06:00 - 23:00
RQT Spot,unknown,8,50.0,100.0,73.0,07:00 - 00:00,07:00 - 00:00
Rakiety Aero – Padel Outdoor,outdoor,1,,,,08:00 - 21:30,08:00 - 21:30
Rakiety PGE Narodowy,unknown,5,60.0,260.0,145.0,07:00 - 23:00,07:00 - 23:00
San Padel,unknown,12,,,,00:00 - 00:00,00:00 - 00:00
Warsaw Padel Club,unknown,11,50.0,150.0,100.0,06:00 - 01:00,06:00 - 01:00
Warsaw Padel Club – Squash,,0,,,,07:00 - 01:00,07:00 - 01:00
