klub,dzielnica,source,kort,nawierzchnia,pora_dnia,typ_dnia,slotow,zajete,wolne,oblozenie_pct
Interpadel Warszawa,Mokotów,playtomic, kort 1,indoor,rano (6-10),tydzien,12,12,0,100.0
Interpadel Warszawa,Mokotów,playtomic, kort 1,indoor,poludnie (10-14),tydzien,9,5,4,55.6
Interpadel Warszawa,Mokotów,playtomic, kort 1,indoor,popoludnie (14-18),tydzien,8,8,0,100.0
Interpadel Warszawa,Mokotów,playtomic, kort 1,indoor,wieczor (18-22),tydzien,8,7,1,87.5
Interpadel Warszawa,Mokotów,playtomic, kort 1,indoor,noc,tydzien,5,5,0,100.0
Interpadel Warszawa,Mokotów,playtomic,AQUA Carpatica kort 3,indoor,rano (6-10),tydzien,12,12,0,100.0
Interpadel Warszawa,Mokotów,playtomic,AQUA Carpatica kort 3,indoor,poludnie (10-14),tydzien,9,5,4,55.6
Interpadel Warszawa,Mokotów,playtomic,AQUA Carpatica kort 3,indoor,popoludnie (14-18),tydzien,8,7,1,87.5
Interpadel Warszawa,Mokotów,playtomic,AQUA Carpatica kort 3,indoor,wieczor (18-22),tydzien,8,7,1,87.5
Interpadel Warszawa,Mokotów,playtomic,AQUA Carpatica kort 3,indoor,noc,tydzien,5,5,0,100.0
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,rano (6-10),tydzien,12,12,0,100.0
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,poludnie (10-14),tydzien,9,7,2,77.8
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,popoludnie (14-18),tydzien,8,8,0,100.0
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,wieczor (18-22),tydzien,8,8,0,100.0
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,noc,tydzien,5,5,0,100.0
Interpadel Warszawa,Mokotów,playtomic,PORTICO kort 2,indoor,rano (6-10),tydzien,12,11,1,91.7
Interpadel Warszawa,Mokotów,playtomic,PORTICO kort 2,indoor,poludnie (10-14),tydzien,9,8,1,88.9
Interpadel Warszawa,Mokotów,playtomic,PORTICO kort 2,indoor,popoludnie (14-18),tydzien,8,8,0,100.0
Interpadel Warszawa,Mokotów,playtomic,PORTICO kort 2,indoor,wieczor (18-22),tydzien,8,7,1,87.5
Interpadel Warszawa,Mokotów,playtomic,PORTICO kort 2,indoor,noc,tydzien,5,5,0,100.0
Interpadel Warszawa,Mokotów,playtomic,RECMAN kort 8,indoor,rano (6-10),tydzien,12,12,0,100.0
Interpadel Warszawa,Mokotów,playtomic,RECMAN kort 8,indoor,poludnie (10-14),tydzien,9,7,2,77.8
Interpadel Warszawa,Mokotów,playtomic,RECMAN kort 8,indoor,popoludnie (14-18),tydzien,8,7,1,87.5
Interpadel Warszawa,Mokotów,playtomic,RECMAN kort 8,indoor,wieczor (18-22),tydzien,8,6,2,75.0
Interpadel Warszawa,Mokotów,playtomic,RECMAN kort 8,indoor,noc,tydzien,5,5,0,100.0
Interpadel Warszawa,Mokotów,playtomic,TRUE kort 7,indoor,rano (6-10),tydzien,12,7,5,58.3
Interpadel Warszawa,Mokotów,playtomic,TRUE kort 7,indoor,poludnie (10-14),tydzien,9,8,1,88.9
Interpadel Warszawa,Mokotów,playtomic,TRUE kort 7,indoor,popoludnie (14-18),tydzien,8,8,0,100.0
Interpadel Warszawa,Mokotów,playtomic,TRUE kort 7,indoor,wieczor (18-22),tydzien,8,3,5,37.5
