klub,dzielnica,source,kort,nawierzchnia,slot_date,day_of_week,typ_dnia,godzina,minuta,pora_dnia,wolny,booking_start,booking_end
Klub Miedzeszyn,Wawer,kluby_org,"Kort 2P
 PADEL HALA",indoor,2026-07-18,Saturday,weekend,19,0,wieczor (18-22),0,19:00,20:00
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,2026-07-18,Saturday,weekend,10,0,poludnie (10-14),0,10:00,11:30
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,2026-07-18,Saturday,weekend,17,0,popoludnie (14-18),0,17:00,18:00
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,2026-07-18,Saturday,weekend,20,0,wieczor (18-22),0,20:00,21:30
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-07-18,Saturday,weekend,8,0,rano (6-10),0,08:00,09:00
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-07-18,Saturday,weekend,10,0,poludnie (10-14),0,10:00,11:00
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-07-18,Saturday,weekend,12,0,poludnie (10-14),0,12:00,13:30
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-07-18,Saturday,weekend,13,0,poludnie (10-14),0,13:00,14:00
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-07-18,Saturday,weekend,14,0,popoludnie (14-18),0,14:00,16:00
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-07-18,Saturday,weekend,16,0,popoludnie (14-18),0,16:00,18:00
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,2026-07-18,Saturday,weekend,21,30,wieczor (18-22),0,21:30,00:00
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-07-18,Saturday,weekend,8,30,rano (6-10),0,08:30,10:00
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-07-18,Saturday,weekend,10,0,poludnie (10-14),0,10:00,12:00
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-07-18,Saturday,weekend,12,0,poludnie (10-14),0,12:00,13:00
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-07-18,Saturday,weekend,14,0,popoludnie (14-18),0,14:00,15:00
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-07-18,Saturday,weekend,16,0,popoludnie (14-18),0,16:00,18:00
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-07-18,Saturday,weekend,18,0,wieczor (18-22),0,18:00,19:00
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-07-18,Saturday,weekend,21,30,wieczor (18-22),0,21:30,00:00
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,2026-07-18,Saturday,weekend,7,0,rano (6-10),0,07:00,09:00
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,2026-07-18,Saturday,weekend,10,0,poludnie (10-14),0,10:00,12:00
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,2026-07-18,Saturday,weekend,12,0,poludnie (10-14),0,12:00,13:00
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,2026-07-18,Saturday,weekend,14,0,popoludnie (14-18),0,14:00,16:00
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,2026-07-18,Saturday,weekend,16,0,popoludnie (14-18),0,16:00,18:00
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,2026-07-18,Saturday,weekend,21,30,wieczor (18-22),0,21:30,00:00
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,2026-07-18,Saturday,weekend,10,0,poludnie (10-14),0,10:00,12:00
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,2026-07-18,Saturday,weekend,12,0,poludnie (10-14),0,12:00,14:00
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,2026-07-18,Saturday,weekend,14,0,popoludnie (14-18),0,14:00,16:00
