klub,dzielnica,source,kort,nawierzchnia,pora_dnia,typ_dnia,slotow,zajete,wolne,oblozenie_pct
Interpadel Warszawa,Mokotów,playtomic,,,rano (6-10),weekend,6,3,3,50.0
Interpadel Warszawa,Mokotów,playtomic,,,poludnie (10-14),weekend,4,2,2,50.0
Interpadel Warszawa,Mokotów,playtomic,,,popoludnie (14-18),weekend,2,1,1,50.0
Interpadel Warszawa,Mokotów,playtomic,,,wieczor (18-22),weekend,2,1,1,50.0
Loba Padel,Białołęka,playtomic,,,rano (6-10),weekend,2,1,1,50.0
Loba Padel,Białołęka,playtomic,,,poludnie (10-14),weekend,10,5,5,50.0
Loba Padel,Białołęka,playtomic,,,popoludnie (14-18),weekend,4,2,2,50.0
RQT Spot,Bielany,playtomic,,,rano (6-10),weekend,2,1,1,50.0
RQT Spot,Bielany,playtomic,,,poludnie (10-14),weekend,6,3,3,50.0
RQT Spot,Bielany,playtomic,,,popoludnie (14-18),weekend,4,2,2,50.0
RQT Spot,Bielany,playtomic,,,wieczor (18-22),weekend,4,2,2,50.0
Rakiety PGE Narodowy,Praga Południe,playtomic,,,rano (6-10),weekend,6,3,3,50.0
Rakiety PGE Narodowy,Praga Południe,playtomic,,,poludnie (10-14),weekend,6,3,3,50.0
Rakiety PGE Narodowy,Praga Południe,playtomic,,,popoludnie (14-18),weekend,4,2,2,50.0
Warsaw Padel Club,Białołęka,playtomic,,,rano (6-10),weekend,6,3,3,50.0
Warsaw Padel Club,Białołęka,playtomic,,,poludnie (10-14),weekend,8,4,4,50.0
Warsaw Padel Club,Białołęka,playtomic,,,popoludnie (14-18),weekend,2,1,1,50.0
