klub,dzielnica,source,kort,nawierzchnia,pora_dnia,typ_dnia,slotow,zajete,wolne,oblozenie_pct
Interpadel Warszawa,Mokotów,playtomic,BMW Bawaria Motors kort 2,indoor,wieczor (18-22),tydzien,8,7,1,87.5
Interpadel Warszawa,Mokotów,playtomic,BMW Bawaria Motors kort 2,indoor,noc,tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,rano (6-10),tydzien,4,3,1,75.0
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,poludnie (10-14),tydzien,8,7,1,87.5
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,popoludnie (14-18),tydzien,8,8,0,100.0
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,wieczor (18-22),tydzien,8,7,1,87.5
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,noc,tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,RECMAN kort 8,indoor,rano (6-10),tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,RECMAN kort 8,indoor,poludnie (10-14),tydzien,8,7,1,87.5
Interpadel Warszawa,Mokotów,playtomic,RECMAN kort 8,indoor,popoludnie (14-18),tydzien,8,8,0,100.0
Interpadel Warszawa,Mokotów,playtomic,RECMAN kort 8,indoor,wieczor (18-22),tydzien,8,5,3,62.5
Interpadel Warszawa,Mokotów,playtomic,RECMAN kort 8,indoor,noc,tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,TRUE kort 7,indoor,rano (6-10),tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,TRUE kort 7,indoor,poludnie (10-14),tydzien,8,8,0,100.0
Interpadel Warszawa,Mokotów,playtomic,TRUE kort 7,indoor,popoludnie (14-18),tydzien,8,8,0,100.0
Interpadel Warszawa,Mokotów,playtomic,TRUE kort 7,indoor,wieczor (18-22),tydzien,8,8,0,100.0
Interpadel Warszawa,Mokotów,playtomic,TRUE kort 7,indoor,noc,tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,WAAY kort 9,indoor,rano (6-10),tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,WAAY kort 9,indoor,poludnie (10-14),tydzien,8,7,1,87.5
Interpadel Warszawa,Mokotów,playtomic,WAAY kort 9,indoor,popoludnie (14-18),tydzien,8,7,1,87.5
Interpadel Warszawa,Mokotów,playtomic,WAAY kort 9,indoor,wieczor (18-22),tydzien,8,5,3,62.5
Interpadel Warszawa,Mokotów,playtomic,WAAY kort 9,indoor,noc,tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 11 Singiel,indoor,rano (6-10),tydzien,4,3,1,75.0
Interpadel Warszawa,Mokotów,playtomic,kort 11 Singiel,indoor,poludnie (10-14),tydzien,8,7,1,87.5
Interpadel Warszawa,Mokotów,playtomic,kort 11 Singiel,indoor,popoludnie (14-18),tydzien,8,6,2,75.0
Interpadel Warszawa,Mokotów,playtomic,kort 11 Singiel,indoor,wieczor (18-22),tydzien,8,6,2,75.0
Interpadel Warszawa,Mokotów,playtomic,kort 11 Singiel,indoor,noc,tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 4,indoor,rano (6-10),tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 4,indoor,poludnie (10-14),tydzien,8,8,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 4,indoor,popoludnie (14-18),tydzien,8,8,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 4,indoor,wieczor (18-22),tydzien,8,5,3,62.5
Interpadel Warszawa,Mokotów,playtomic,kort 4,indoor,noc,tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 6,indoor,rano (6-10),tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 6,indoor,poludnie (10-14),tydzien,8,8,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 6,indoor,popoludnie (14-18),tydzien,8,8,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 6,indoor,wieczor (18-22),tydzien,8,8,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 6,indoor,noc,tydzien,4,4,0,100.0
Klub Miedzeszyn,Wawer,kluby_org,"Kort 2P
 PADEL HALA",indoor,popoludnie (14-18),tydzien,1,1,0,100.0
Klub Miedzeszyn,Wawer,kluby_org,"Kort 2P
 PADEL HALA",indoor,wieczor (18-22),tydzien,1,1,0,100.0
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,popoludnie (14-18),tydzien,1,1,0,100.0
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,wieczor (18-22),tydzien,3,3,0,100.0
Loba Padel,Białołęka,playtomic,Padel 1,indoor,rano (6-10),tydzien,4,0,4,0.0
Loba Padel,Białołęka,playtomic,Padel 1,indoor,poludnie (10-14),tydzien,8,0,8,0.0
Loba Padel,Białołęka,playtomic,Padel 1,indoor,popoludnie (14-18),tydzien,8,4,4,50.0
Loba Padel,Białołęka,playtomic,Padel 1,indoor,wieczor (18-22),tydzien,8,6,2,75.0
Loba Padel,Białołęka,playtomic,Padel 1,indoor,noc,tydzien,2,2,0,100.0
Loba Padel,Białołęka,playtomic,Padel 2,indoor,rano (6-10),tydzien,4,0,4,0.0
Loba Padel,Białołęka,playtomic,Padel 2,indoor,poludnie (10-14),tydzien,8,5,3,62.5
Loba Padel,Białołęka,playtomic,Padel 2,indoor,popoludnie (14-18),tydzien,8,3,5,37.5
Loba Padel,Białołęka,playtomic,Padel 2,indoor,wieczor (18-22),tydzien,8,5,3,62.5
Loba Padel,Białołęka,playtomic,Padel 2,indoor,noc,tydzien,2,2,0,100.0
Loba Padel,Białołęka,playtomic,Padel 3,indoor,rano (6-10),tydzien,4,0,4,0.0
Loba Padel,Białołęka,playtomic,Padel 3,indoor,poludnie (10-14),tydzien,8,2,6,25.0
Loba Padel,Białołęka,playtomic,Padel 3,indoor,popoludnie (14-18),tydzien,8,5,3,62.5
Loba Padel,Białołęka,playtomic,Padel 3,indoor,wieczor (18-22),tydzien,8,7,1,87.5
Loba Padel,Białołęka,playtomic,Padel 3,indoor,noc,tydzien,2,2,0,100.0
Loba Padel,Białołęka,playtomic,Padel 4,indoor,rano (6-10),tydzien,4,0,4,0.0
Loba Padel,Białołęka,playtomic,Padel 4,indoor,poludnie (10-14),tydzien,8,1,7,12.5
Loba Padel,Białołęka,playtomic,Padel 4,indoor,popoludnie (14-18),tydzien,8,6,2,75.0
Loba Padel,Białołęka,playtomic,Padel 4,indoor,wieczor (18-22),tydzien,8,5,3,62.5
Loba Padel,Białołęka,playtomic,Padel 4,indoor,noc,tydzien,2,2,0,100.0
Loba Padel,Białołęka,playtomic,Padel 5,indoor,rano (6-10),tydzien,4,2,2,50.0
Loba Padel,Białołęka,playtomic,Padel 5,indoor,poludnie (10-14),tydzien,8,3,5,37.5
