klub,dzielnica,source,kort,nawierzchnia,pora_dnia,typ_dnia,slotow,zajete,wolne,oblozenie_pct
Interpadel Warszawa,Mokotów,playtomic, kort 1,indoor,wieczor (18-22),weekend,8,5,3,62.5
Interpadel Warszawa,Mokotów,playtomic, kort 1,indoor,noc,weekend,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,AQUA Carpatica kort 3,indoor,wieczor (18-22),weekend,8,8,0,100.0
Interpadel Warszawa,Mokotów,playtomic,AQUA Carpatica kort 3,indoor,noc,weekend,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,wieczor (18-22),weekend,8,8,0,100.0
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,noc,weekend,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,PORTICO kort 2,indoor,wieczor (18-22),weekend,8,5,3,62.5
Interpadel Warszawa,Mokotów,playtomic,PORTICO kort 2,indoor,noc,weekend,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,RECMAN kort 8,indoor,wieczor (18-22),weekend,8,8,0,100.0
Interpadel Warszawa,Mokotów,playtomic,RECMAN kort 8,indoor,noc,weekend,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,TRUE kort 7,indoor,wieczor (18-22),weekend,8,8,0,100.0
Interpadel Warszawa,Mokotów,playtomic,TRUE kort 7,indoor,noc,weekend,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 10 Singiel,indoor,wieczor (18-22),weekend,8,6,2,75.0
Interpadel Warszawa,Mokotów,playtomic,kort 10 Singiel,indoor,noc,weekend,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 11 Singiel,indoor,wieczor (18-22),weekend,8,7,1,87.5
Interpadel Warszawa,Mokotów,playtomic,kort 11 Singiel,indoor,noc,weekend,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 4,indoor,wieczor (18-22),weekend,8,5,3,62.5
Interpadel Warszawa,Mokotów,playtomic,kort 4,indoor,noc,weekend,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 6,indoor,wieczor (18-22),weekend,8,8,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 6,indoor,noc,weekend,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 9,indoor,wieczor (18-22),weekend,8,8,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 9,indoor,noc,weekend,4,4,0,100.0
Loba Padel,Białołęka,playtomic,Padel 1,indoor,wieczor (18-22),weekend,8,3,5,37.5
Loba Padel,Białołęka,playtomic,Padel 1,indoor,noc,weekend,2,2,0,100.0
Loba Padel,Białołęka,playtomic,Padel 2,indoor,wieczor (18-22),weekend,8,3,5,37.5
Loba Padel,Białołęka,playtomic,Padel 2,indoor,noc,weekend,2,2,0,100.0
Loba Padel,Białołęka,playtomic,Padel 3,indoor,wieczor (18-22),weekend,8,3,5,37.5
Loba Padel,Białołęka,playtomic,Padel 3,indoor,noc,weekend,2,2,0,100.0
Loba Padel,Białołęka,playtomic,Padel 4,indoor,wieczor (18-22),weekend,8,3,5,37.5
Loba Padel,Białołęka,playtomic,Padel 4,indoor,noc,weekend,2,2,0,100.0
Loba Padel,Białołęka,playtomic,Padel 5,indoor,wieczor (18-22),weekend,8,3,5,37.5
Loba Padel,Białołęka,playtomic,Padel 5,indoor,noc,weekend,2,2,0,100.0
Loba Padel,Białołęka,playtomic,Padel 6,indoor,wieczor (18-22),weekend,8,3,5,37.5
Loba Padel,Białołęka,playtomic,Padel 6,indoor,noc,weekend,2,2,0,100.0
Loba Padel,Białołęka,playtomic,Padel 7,indoor,wieczor (18-22),weekend,8,6,2,75.0
Loba Padel,Białołęka,playtomic,Padel 7,indoor,noc,weekend,2,2,0,100.0
Loba Padel,Białołęka,playtomic,Padel 8,indoor,wieczor (18-22),weekend,8,3,5,37.5
Loba Padel,Białołęka,playtomic,Padel 8,indoor,noc,weekend,2,2,0,100.0
Rakiety Aero - Padel Outdoor,Wawer,playtomic,Padel Outdoor,outdoor,wieczor (18-22),weekend,7,5,2,71.4
Rakiety PGE Narodowy - Padel Outdoor,Praga Południe,playtomic,Padel 1,outdoor,wieczor (18-22),weekend,8,6,2,75.0
Rakiety PGE Narodowy - Padel Outdoor,Praga Południe,playtomic,Padel 1,outdoor,noc,weekend,2,2,0,100.0
Rakiety PGE Narodowy - Padel Outdoor,Praga Południe,playtomic,Padel 2,outdoor,wieczor (18-22),weekend,8,6,2,75.0
Rakiety PGE Narodowy - Padel Outdoor,Praga Południe,playtomic,Padel 2,outdoor,noc,weekend,2,2,0,100.0
Rakiety PGE Narodowy - Padel Outdoor,Praga Południe,playtomic,Padel 3,outdoor,wieczor (18-22),weekend,8,5,3,62.5
Rakiety PGE Narodowy - Padel Outdoor,Praga Południe,playtomic,Padel 3,outdoor,noc,weekend,2,2,0,100.0
Rakiety PGE Narodowy - Padel Outdoor,Praga Południe,playtomic,Padel 4,outdoor,wieczor (18-22),weekend,8,4,4,50.0
Rakiety PGE Narodowy - Padel Outdoor,Praga Południe,playtomic,Padel 4,outdoor,noc,weekend,2,2,0,100.0
Rakiety PGE Narodowy - Padel Outdoor,Praga Południe,playtomic,Padel 5,outdoor,wieczor (18-22),weekend,8,7,1,87.5
Rakiety PGE Narodowy - Padel Outdoor,Praga Południe,playtomic,Padel 5,outdoor,noc,weekend,2,2,0,100.0
San Padel,Ursynów,playtomic,Padel 1,indoor,wieczor (18-22),weekend,8,6,2,75.0
San Padel,Ursynów,playtomic,Padel 1,indoor,noc,weekend,4,4,0,100.0
San Padel,Ursynów,playtomic,Padel 10,indoor,wieczor (18-22),weekend,8,1,7,12.5
San Padel,Ursynów,playtomic,Padel 10,indoor,noc,weekend,4,4,0,100.0
San Padel,Ursynów,playtomic,Padel 11,indoor,wieczor (18-22),weekend,8,1,7,12.5
San Padel,Ursynów,playtomic,Padel 11,indoor,noc,weekend,4,4,0,100.0
San Padel,Ursynów,playtomic,Padel 12,indoor,wieczor (18-22),weekend,8,1,7,12.5
San Padel,Ursynów,playtomic,Padel 12,indoor,noc,weekend,4,4,0,100.0
San Padel,Ursynów,playtomic,Padel 2,indoor,wieczor (18-22),weekend,8,3,5,37.5
San Padel,Ursynów,playtomic,Padel 2,indoor,noc,weekend,4,4,0,100.0
San Padel,Ursynów,playtomic,Padel 3,indoor,wieczor (18-22),weekend,8,4,4,50.0
San Padel,Ursynów,playtomic,Padel 3,indoor,noc,weekend,4,4,0,100.0
San Padel,Ursynów,playtomic,Padel 4,indoor,wieczor (18-22),weekend,8,3,5,37.5
San Padel,Ursynów,playtomic,Padel 4,indoor,noc,weekend,4,4,0,100.0
San Padel,Ursynów,playtomic,Padel 5,indoor,wieczor (18-22),weekend,8,2,6,25.0
San Padel,Ursynów,playtomic,Padel 5,indoor,noc,weekend,4,4,0,100.0
