klub,dzielnica,source,kort,nawierzchnia,pora_dnia,typ_dnia,slotow,zajete,wolne,oblozenie_pct
Interpadel Warszawa,Mokotów,playtomic, kort 1,indoor,rano (6-10),tydzien,1,1,0,100.0
Interpadel Warszawa,Mokotów,playtomic, kort 1,indoor,poludnie (10-14),tydzien,9,9,0,100.0
Interpadel Warszawa,Mokotów,playtomic, kort 1,indoor,popoludnie (14-18),tydzien,9,9,0,100.0
Interpadel Warszawa,Mokotów,playtomic, kort 1,indoor,wieczor (18-22),tydzien,10,10,0,100.0
Interpadel Warszawa,Mokotów,playtomic, kort 1,indoor,noc,tydzien,1,1,0,100.0
Interpadel Warszawa,Mokotów,playtomic,AQUA Carpatica kort 3,indoor,rano (6-10),tydzien,1,1,0,100.0
Interpadel Warszawa,Mokotów,playtomic,AQUA Carpatica kort 3,indoor,poludnie (10-14),tydzien,9,9,0,100.0
Interpadel Warszawa,Mokotów,playtomic,AQUA Carpatica kort 3,indoor,popoludnie (14-18),tydzien,9,9,0,100.0
Interpadel Warszawa,Mokotów,playtomic,AQUA Carpatica kort 3,indoor,wieczor (18-22),tydzien,10,10,0,100.0
Interpadel Warszawa,Mokotów,playtomic,AQUA Carpatica kort 3,indoor,noc,tydzien,1,1,0,100.0
Interpadel Warszawa,Mokotów,playtomic,BMW Bawaria Motors kort 10 Singiel,indoor,rano (6-10),tydzien,1,1,0,100.0
Interpadel Warszawa,Mokotów,playtomic,BMW Bawaria Motors kort 10 Singiel,indoor,poludnie (10-14),tydzien,9,9,0,100.0
Interpadel Warszawa,Mokotów,playtomic,BMW Bawaria Motors kort 10 Singiel,indoor,popoludnie (14-18),tydzien,9,9,0,100.0
Interpadel Warszawa,Mokotów,playtomic,BMW Bawaria Motors kort 10 Singiel,indoor,wieczor (18-22),tydzien,10,10,0,100.0
Interpadel Warszawa,Mokotów,playtomic,BMW Bawaria Motors kort 10 Singiel,indoor,noc,tydzien,1,1,0,100.0
Interpadel Warszawa,Mokotów,playtomic,BMW Bawaria Motors kort 2,indoor,rano (6-10),tydzien,1,1,0,100.0
Interpadel Warszawa,Mokotów,playtomic,BMW Bawaria Motors kort 2,indoor,poludnie (10-14),tydzien,9,8,1,88.9
Interpadel Warszawa,Mokotów,playtomic,BMW Bawaria Motors kort 2,indoor,popoludnie (14-18),tydzien,9,9,0,100.0
Interpadel Warszawa,Mokotów,playtomic,BMW Bawaria Motors kort 2,indoor,wieczor (18-22),tydzien,10,8,2,80.0
Interpadel Warszawa,Mokotów,playtomic,BMW Bawaria Motors kort 2,indoor,noc,tydzien,1,1,0,100.0
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,rano (6-10),tydzien,1,1,0,100.0
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,poludnie (10-14),tydzien,9,8,1,88.9
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,popoludnie (14-18),tydzien,9,9,0,100.0
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,wieczor (18-22),tydzien,10,10,0,100.0
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,noc,tydzien,1,1,0,100.0
Interpadel Warszawa,Mokotów,playtomic,RECMAN kort 8,indoor,rano (6-10),tydzien,1,0,1,0.0
Interpadel Warszawa,Mokotów,playtomic,RECMAN kort 8,indoor,poludnie (10-14),tydzien,9,6,3,66.7
Interpadel Warszawa,Mokotów,playtomic,RECMAN kort 8,indoor,popoludnie (14-18),tydzien,9,9,0,100.0
Interpadel Warszawa,Mokotów,playtomic,RECMAN kort 8,indoor,wieczor (18-22),tydzien,10,10,0,100.0
Interpadel Warszawa,Mokotów,playtomic,RECMAN kort 8,indoor,noc,tydzien,1,1,0,100.0
Interpadel Warszawa,Mokotów,playtomic,TRUE kort 7,indoor,rano (6-10),tydzien,1,1,0,100.0
Interpadel Warszawa,Mokotów,playtomic,TRUE kort 7,indoor,poludnie (10-14),tydzien,9,7,2,77.8
Interpadel Warszawa,Mokotów,playtomic,TRUE kort 7,indoor,popoludnie (14-18),tydzien,9,9,0,100.0
Interpadel Warszawa,Mokotów,playtomic,TRUE kort 7,indoor,wieczor (18-22),tydzien,10,10,0,100.0
Interpadel Warszawa,Mokotów,playtomic,TRUE kort 7,indoor,noc,tydzien,1,1,0,100.0
Interpadel Warszawa,Mokotów,playtomic,WAAY kort 9,indoor,rano (6-10),tydzien,1,0,1,0.0
Interpadel Warszawa,Mokotów,playtomic,WAAY kort 9,indoor,poludnie (10-14),tydzien,9,8,1,88.9
Interpadel Warszawa,Mokotów,playtomic,WAAY kort 9,indoor,popoludnie (14-18),tydzien,9,9,0,100.0
Interpadel Warszawa,Mokotów,playtomic,WAAY kort 9,indoor,wieczor (18-22),tydzien,10,10,0,100.0
Interpadel Warszawa,Mokotów,playtomic,WAAY kort 9,indoor,noc,tydzien,1,1,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 11 Singiel,indoor,rano (6-10),tydzien,1,1,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 11 Singiel,indoor,poludnie (10-14),tydzien,9,9,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 11 Singiel,indoor,popoludnie (14-18),tydzien,9,9,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 11 Singiel,indoor,wieczor (18-22),tydzien,10,10,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 11 Singiel,indoor,noc,tydzien,1,1,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 4,indoor,rano (6-10),tydzien,1,0,1,0.0
Interpadel Warszawa,Mokotów,playtomic,kort 4,indoor,poludnie (10-14),tydzien,9,8,1,88.9
Interpadel Warszawa,Mokotów,playtomic,kort 4,indoor,popoludnie (14-18),tydzien,9,8,1,88.9
Interpadel Warszawa,Mokotów,playtomic,kort 4,indoor,wieczor (18-22),tydzien,10,9,1,90.0
Interpadel Warszawa,Mokotów,playtomic,kort 4,indoor,noc,tydzien,1,1,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 6,indoor,rano (6-10),tydzien,1,1,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 6,indoor,poludnie (10-14),tydzien,9,7,2,77.8
Interpadel Warszawa,Mokotów,playtomic,kort 6,indoor,popoludnie (14-18),tydzien,9,9,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 6,indoor,wieczor (18-22),tydzien,10,10,0,100.0
Interpadel Warszawa,Mokotów,playtomic,kort 6,indoor,noc,tydzien,1,1,0,100.0
Klub Miedzeszyn,Wawer,kluby_org,"Kort 2P
 PADEL HALA",indoor,wieczor (18-22),tydzien,1,1,0,100.0
