klub,dzielnica,source,price_type,day_type,time_slot,hour_from,hour_to,price_pln,duration_min,description
Interpadel Warszawa,Mokotów,playtomic,court,all,all,,,50.0,90,cena z Playtomic
Interpadel Warszawa,Mokotów,playtomic,court,all,all,,,65.0,90,cena z Playtomic
Interpadel Warszawa,Mokotów,playtomic,court,all,all,,,140.0,90,cena z Playtomic
Loba Padel,Białołęka,playtomic,court,all,all,,,280.0,90,cena z Playtomic
Loba Padel,Białołęka,playtomic,court,all,all,,,95.0,90,cena z Playtomic
Loba Padel,Białołęka,playtomic,court,all,all,,,85.0,90,cena z Playtomic
Loba Padel,Białołęka,playtomic,court,all,all,,,50.0,90,cena z Playtomic
RQT Spot,Bielany,playtomic,court,all,all,,,80.0,90,cena z Playtomic
RQT Spot,Bielany,playtomic,court,all,all,,,75.0,90,cena z Playtomic
RQT Spot,Bielany,playtomic,court,all,all,,,65.0,90,cena z Playtomic
RQT Spot,Bielany,playtomic,court,all,all,,,100.0,90,cena z Playtomic
Rakiety PGE Narodowy,Praga Południe,playtomic,court,all,all,,,150.0,90,cena z Playtomic
Rakiety PGE Narodowy,Praga Południe,playtomic,court,all,all,,,260.0,90,cena z Playtomic
Rakiety PGE Narodowy,Praga Południe,playtomic,court,all,all,,,140.0,90,cena z Playtomic
Rakiety PGE Narodowy,Praga Południe,playtomic,court,all,all,,,130.0,90,cena z Playtomic
Rakiety PGE Narodowy,Praga Południe,playtomic,court,all,all,,,60.0,90,cena z Playtomic
Rakiety PGE Narodowy,Praga Południe,playtomic,court,all,all,,,120.0,90,cena z Playtomic
Rakiety PGE Narodowy,Praga Południe,playtomic,court,all,all,,,200.0,90,cena z Playtomic
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,105.0,90,cena z Playtomic
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,260.0,90,cena z Playtomic
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,50.0,90,cena z Playtomic
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,100.0,90,cena z Playtomic
