klub,dzielnica,source,kort,nawierzchnia,pora_dnia,typ_dnia,slotow,zajete,wolne,oblozenie_pct
Interpadel Warszawa,Mokotów,playtomic, kort 1,indoor,rano (6-10),tydzien,9,9,0,100.0
Interpadel Warszawa,Mokotów,playtomic, kort 1,indoor,poludnie (10-14),tydzien,8,4,4,50.0
Interpadel Warszawa,Mokotów,playtomic, kort 1,indoor,popoludnie (14-18),tydzien,8,8,0,100.0
Interpadel Warszawa,Mokotów,playtomic, kort 1,indoor,wieczor (18-22),tydzien,8,7,1,87.5
Interpadel Warszawa,Mokotów,playtomic, kort 1,indoor,noc,tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,AQUA Carpatica kort 3,indoor,rano (6-10),tydzien,9,9,0,100.0
Interpadel Warszawa,Mokotów,playtomic,AQUA Carpatica kort 3,indoor,poludnie (10-14),tydzien,8,4,4,50.0
Interpadel Warszawa,Mokotów,playtomic,AQUA Carpatica kort 3,indoor,popoludnie (14-18),tydzien,8,7,1,87.5
Interpadel Warszawa,Mokotów,playtomic,AQUA Carpatica kort 3,indoor,wieczor (18-22),tydzien,8,7,1,87.5
Interpadel Warszawa,Mokotów,playtomic,AQUA Carpatica kort 3,indoor,noc,tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,rano (6-10),tydzien,9,9,0,100.0
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,poludnie (10-14),tydzien,8,6,2,75.0
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,popoludnie (14-18),tydzien,8,8,0,100.0
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,wieczor (18-22),tydzien,8,8,0,100.0
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,noc,tydzien,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,PORTICO kort 2,indoor,rano (6-10),tydzien,9,8,1,88.9
Interpadel Warszawa,Mokotów,playtomic,PORTICO kort 2,indoor,poludnie (10-14),tydzien,8,7,1,87.5
Interpadel Warszawa,Mokotów,playtomic,PORTICO kort 2,indoor,popoludnie (14-18),tydzien,8,8,0,100.0
